NOME_VIA;NOME_NORM;DIST
Via Gian Giacomo Felissent;Viale Gian Giacomo Felissent;2
Strada Ghirada;Via Ghirada;5
Via Salvo D'Acquisto;Via Salvo d'Acquisto;1
Via Tappi;Strada dei Tappi;9
Via Marini;Via Giovanni Marini;8
Via Vecchia Quinto;Via Vecchia di Quinto;3
Via Chimenton;Via Costante Chimenton;9
Vicolo Mandruzzato;Vicolo Giovan Battista Mandruzzato;16
Via Generale Giuseppe Vaccari;Via generale Giuseppe Vaccari;1
Via Scipione Fapanni;Via Francesco Scipione Fapanni;10
Via Dall'Ongaro;Via Francesco dall'Ongaro;11
Via Decorati Al Valor Militare;Via Decorati al Valore Militare;2
Via Esuli Dalmati;Via Esuli Giuliano Dalmati;9
Viale Burchiellati;Viale Bartolomeo Burchiellati;11
Via Bianchini;Via Vincenzo Bianchini;9
Via G. Antonini;Via Giacomo Antonini;6
Viale 4 Novembre;Viale Quattro Novembre;7
Via Grave Papadopoli;Via Grave di Papadopoli;3
Vicolo 4 Novembre;Vicolo Quattro novembre;8
Via Baccaruzzi;Via Francesco Beccaruzzi;11
Viale Alfredo Oriani;Via Alfredo Oriani;2
Via Zago;Via Emilio Zago;7
Strada Stradelle;Via Stradelle;5
Via L. Cattarin;Via Luigi Cattarin;4
Piazza Duomo;Piazza del Duomo;4
Via Italo Cappellotto;Via Italico Cappellotto;2
Piazza Ancillotto;Piazza Giannino Ancilotto;10
Porta Caccianiga;Varco Antonio Caccianiga;11
Via Daniele Montenumici;Via Daniele Monterumici;1
Via Zorzi;Via Silvio Zorzi;7
Via Vicinale San Vitale;Via vicinale di San Vitale;4
Via Monsignor Giovanni D'Alessi;Via Giovanni d'Alessi;11
Piazzetta Benedetto XI;Piazzetta Benedetto undicesimo;10
Via A. Radaelli;Via Alberto Radaelli;6
Via Don Nicola Mazza;Via don Nicola Mazza;1
Via Giovanni Battista Piazzetta;Via Giovan Battista Piazzetta;2
Via G. L. Bernini;Via Gian Lorenzo Bernini;9
Vicolo dei Morer;Vicolo del Morer;1
Via Meneghini;Via don Gaetano Meneghini;12
