DEBUG;NOME_VIA;NOME_NORM;DIST
1;Porta Calvi;Porta Calvi;1.0
1;Via Dotti;Via Dotti;1.0
0;Via del Gelso;Via del Gelso;1.0
0;Via Giovanni Zaniol;Via Giovanni Zaniol;1.0
0;Piazza Santa Maria Maggiore;Piazza Santa Maria Maggiore;1.0
2b;Via Gian Giacomo Felissent;Viale Gian Giacomo Felissent;0.866666666667
0;Via Primo Visentin;Via Primo Visentin;1.0
2b;Via dei Mille;Viale dei Mille;0.866666666667
2;Strada Ghirada;Via Ghirada;
0;Via Pietro Bembo;Via Pietro Bembo;1.0
0;Via Antonio Canova;Via Antonio Canova;1.0
0;Via Santa Chiara;Via Santa Chiara;1.0
0;Via della Liberazione;Via della Liberazione;1.0
2;Accesso Edificio 8;Accesso Edificio 8;
0;Via Francesco Bomben;Via Francesco Bomben;1.0
1;Vicolo Orsoline;Vicolo Orsoline;1.0
0;Via Salvo D'Acquisto;Via Salvo d'Acquisto;1.0
0;Vicolo del Gallo;Vicolo del Gallo;1.0
2;Via Tappi;Strada dei Tappi;
0;Via Giovanni Masutto;Via Giovanni Masutto;1.0
1;Via Padova;Via Padova;1.0
0;Via degli Scaligeri;Via degli Scaligeri;1.0
1;Via Marini;Via Giovanni Marini;0.816496580928
2b;Via Vecchia Quinto;Via Vecchia di Quinto;0.611111111111
1;Via Chimenton;Via Costante Chimenton;0.816496580928
1;Via Brandolino Brandolini d'Adda;Via Brandolino Brandolini d'Adda;1.0
1;Vicolo Mandruzzato;Vicolo Giovan Battista Mandruzzato;0.707106781187
0;Vicolo San Leonardo;Vicolo San Leonardo;1.0
1;Via Pastrengo;Via Pastrengo;1.0
0;Via Francesco Benaglio;Via Francesco Benaglio;1.0
2b;Strada Comunale Corti;Strada comunale delle Corti;0.55
0;Via Alfredo Oriani;Via Alfredo Oriani;1.0
0;Vicolo Francesco Gera;Vicolo Francesco Gera;1.0
0;Via Sant'Agata;Via Sant'Agata;1.0
0;Via Luigi Meneghetti;Via Luigi Meneghetti;1.0
2b;Via Scipione Fapanni;Via Francesco Scipione Fapanni;0.60119047619
0;Via Gaetano Donizetti;Via Gaetano Donizetti;1.0
1;Via Zara;Via Zara;1.0
2b;Via Dall'Ongaro;Via Francesco dall'Ongaro;0.481481481481
0;Via Cittadella della Salute;Via Cittadella della Salute;1.0
0;Via Medaglie d'Oro;Via Medaglie d'Oro;1.0
0;Via Tommaso Da Modena;Via Tommaso da Modena;1.0
1;Viale Burchiellati;Viale Bartolomeo Burchiellati;0.816496580928
0;Via Plinio il Vecchio;Via Plinio il Vecchio;1.0
1;Via Concordia;Via Concordia;1.0
1;Piazzale Michelangelo;Piazzale Michelangelo;1.0
0;Via Cro' Durigon;Via Cro' Durigon;1.0
1;Via Chiarano;Via Chiarano;1.0
1;Via Bainsizza;Via Bainsizza;1.0
0;Via Fortunato Venanzio;Via Fortunato Venanzio;1.0
0;Via Trentatreesimo Reggimento Artiglieria;Via Trentatreesimo Reggimento Artiglieria;1.0
1;Via Fonderia;Via Fonderia;1.0
0;Via Giuseppe Parini;Via Giuseppe Parini;1.0
1;Via Bianchini;Via Vincenzo Bianchini;0.816496580928
0;Via della Storga;Via della Storga;1.0
0;Via San Zeno;Via San Zeno;1.0
0;Via dei Brilli;Via dei Brilli;1.0
0;Via Fratelli Testolini;Via Fratelli Testolini;1.0
0;Via Lodovico Fiumicelli;Via Lodovico Fiumicelli;1.0
0;Via dei Lombardi;Via dei Lombardi;1.0
1;Via Sabotino;Via Sabotino;1.0
0;Via San Liberale;Via San Liberale;1.0
1;Via Dalmazia;Via Dalmazia;1.0
1;Via G. Antonini;Via Giacomo Antonini;0.666666666667
2a;Via Piave;Via Piave;1.0
0;Via Lorenzo Bregno;Via Lorenzo Bregno;1.0
0;Via dei Gredi;Via dei Gredi;1.0
1;Vicolo Palestro;Vicolo Palestro;1.0
1;Viale 4 Novembre;Viale Quattro Novembre;0.666666666667
1;Via Grave Papadopoli;Via Grave di Papadopoli;0.866025403784
0;Via Pietro di Dante;Via Pietro di Dante;1.0
1;Via Pescatori;Via Pescatori;1.0
1;Via Orsoline;Via Orsoline;1.0
1;Vicolo 4 Novembre;Vicolo Quattro novembre;0.666666666667
1;Via Campania;Via Campania;1.0
1;Via Noalese;Via Noalese;1.0
0;Via Priamo Tron;Via Priamo Tron;1.0
0;Via Luigi Carrer;Via Luigi Carrer;1.0
2b;Viale Alfredo Oriani;Via Alfredo Oriani;0.866666666667
0;Via San Lazzaro;Via San Lazzaro;1.0
1;Via Cavini;Via Cavini;1.0
1;Borgo Furo di Santa Bona;Borgo Furo di Santa Bona;1.0
0;Via Antonio Bellucci;Via Antonio Bellucci;1.0
0;Via dei Dall'Oro;Via dei Dall'Oro;1.0
1;Via Zago;Via Emilio Zago;0.816496580928
2;Strada Stradelle;Via Stradelle;
2a;Via San Camillo de Lellis;Via San Camillo de Lellis;1.0
0;Via Don Luigi Sturzo;Via don Luigi Sturzo;1.0
0;Piazza Silvio Trentin;Piazza Silvio Trentin;1.0
1;Via Olanda;Via Olanda;1.0
1;Porta Piave;Porta Piave;1.0
1;Via Ferrarese;Via Ferrarese;1.0
1;Via Sartori;Via Luigi Sartori;0.816496580928
0;Via Gian Maria Ciassi;Via Gian Maria Ciassi;1.0
0;Via Tito Garzoni;Via Tito Garzoni;1.0
1;Via L. Cattarin;Via Luigi Cattarin;0.666666666667
2a;Via Conegliano;Via Conegliano;1.0
0;Via della Quercia;Via della Quercia;1.0
1;Via Palestro;Via Palestro;1.0
1;Via Casette;Via Casette;1.0
1;Piazza Duomo;Piazza del Duomo;0.816496580928
1;Passerella Onigo;Passerella Onigo;1.0
2b;Via Giovanni Comisso;Via Giovanni Comisso;0.660185185185
1;Via Panigai;Via Panigai;1.0
0;Via Giovanni Battista Verci;Via Giovanni Battista Verci;1.0
1;Via Venzone;Via Venzone;1.0
1;Via Belgio;Via Belgio;1.0
2;Piazza Ancillotto;Piazza Giannino Ancilotto;
0;Via Antonio Scarpa;Via Antonio Scarpa;1.0
0;Via Alvise Semenzi;Via Alvise Semenzi;1.0
0;Vicolo Isola di Mezzo;Vicolo Isola di Mezzo;1.0
1;Via Portobuffolè;Via Portobuffolè;1.0
0;Via Cal di Breda;Via Cal di Breda;1.0
2;Porta Caccianiga;Varco Antonio Caccianiga;
0;Via Luigi Chiereghin;Via Luigi Chiereghin;1.0
0;Viale Brigata Marche;Viale Brigata Marche;1.0
0;Viale della Serenissima;Viale della Serenissima;1.0
1;Via Tommasini;Via Tommasini;1.0
1;Via Pastori;Via Pastori;1.0
0;Via San Giovanni Bosco;Via San Giovanni Bosco;1.0
0;Via Bruno Lattes;Via Bruno Lattes;1.0
0;Via San Giuseppe;Via San Giuseppe;1.0
0;Via Francesco Petrarca;Via Francesco Petrarca;1.0
0;Via Oreste Battistella;Via Oreste Battistella;1.0
1;Via Monfalcone;Via Monfalcone;1.0
1;Via Isonzo;Via Isonzo;1.0
2b;Via Daniele Montenumici;Via Daniele Monterumici;0.963636363636
1;Via Zorzi;Via Silvio Zorzi;0.816496580928
0;Via Arnaldo Fusinato;Via Arnaldo Fusinato;1.0
0;Piazza della Dogana;Piazza della Dogana;1.0
2b;Via Vicinale San Vitale;Via vicinale di San Vitale;0.825
1;Piazzetta Benedetto XI;Piazzetta Benedetto undicesimo;0.666666666667
2a;Via Monsignor Giovanni D'Alessi;Via Giovanni d'Alessi;0.894427191
1;Via Amalfi;Via Amalfi;1.0
1;Borgo Cavour;Borgo Cavour;1.0
1;Via Tezzone;Via Tezzone;1.0
0;Vicolo Sant'Agostino;Vicolo Sant'Agostino;1.0
1;Vicolo Panciera;Vicolo Panciera;1.0
0;Via Gerolamo Aleandro;Via Gerolamo Aleandro;1.0
1;Via A. Radaelli;Via Alberto Radaelli;0.666666666667
0;Vicolo San Bartolomeo;Vicolo San Bartolomeo;1.0
