SUBSTITUTIONS LOG
	Number of ways with tag 'name': 2147
		Number of substitutions of the 'name': 536
		Number of deletions of the 'name': 5
	Number of ways with tag 'addr:street': 2
		Number of substitutions of the 'addr:street': 0
		Number of deletions of the 'addr:street': 0

SUBTITUTIONS LIST
WAY_ID;ADDR:STREET_old;ADDR:STREET_new;NAME_old;NAME_new
18971655;;;Via Louis Pasteur;Viale Luigi Pasteur
25172173;;;Porta Manzoni;Varco San Bartolomeo
25342583;;;Viale Alfredo Oriani;Via Alfredo Oriani
25554800;;;Via Fra' Giocondo;Via fra' Giocondo
25554871;;;Viale 4 Novembre;Viale Quattro Novembre
27024715;;;Strada Comunale Corti;Strada comunale delle Corti
27738428;;;Via Bartolomeo d'Alviano;Viale Bartolomeo d'Alviano
27756315;;;Strada San Zeno;Via San Zeno
27756331;;;Strada Ghirada;Via Ghirada
27756761;;;Via Boiago;Strada di Boiago
27756807;;;Via Boiago;Strada di Boiago
27763518;;;Via Santa Bona Vecchia;Strada Santa Bona Vecchia
28134209;;;Porta Manzoni;Varco San Bartolomeo
28151215;;;Viale Frà Giocondo;Viale fra' Giocondo
28408210;;;Via G. B. Mandruzzato;Via Giovan Battista Mandruzzato
28543530;;;Via Forzetta;Via Oliviero Forzetta
28543710;;;Via Mure di San Teonisto;Via Mura San Teonisto
34880582;;;Via Vicinale San Vitale;Via vicinale di San Vitale
34945191;;;Via Canizzano;Strada Canizzano
34945192;;;Viale dei Cacciatori;Viale Cacciatori
34963182;;;Via Santa Bona Nuova;Strada Santa Bona Nuova
34963184;;;Via Orsetti Matovani;Via Domenico Mantovani Orsetti
34963185;;;Via Matovani Orsetti;Via Domenico Mantovani Orsetti
34963186;;;Strada delle Zecchette;Via Zecchette
34963189;;;Strada delle Zecchette;Via Zecchette
34963192;;;Via Monsignor Giovanni D'Alessi;Via Giovanni d'Alessi
34963193;;;Via delle Zecchette;Via Zecchette
34963194;;;Via delle Zecchette;Via Zecchette
34963198;;;Via Cavasin;Strada Cavasin
34963199;;;Via Cavasin;Strada Cavasin
35017849;;;Via Fratelli Bandiera;Viale Fratelli Bandiera
35137502;;;Via Tommaso Da Modena;Via Tommaso da Modena
37138111;;;Via le Canevare;Via Le Canevare
37211180;;;Strada di Mure;Via Mure
37211185;;;Ponte Ottavi;Ponte Ottavio Ottavi
37211200;;;Via Giovanni Battista Piazzetta;Via Giovan Battista Piazzetta
37769427;;;Via Torre D'Orlando;Via Torre d'Orlando
37770597;;;Strada del Nascimben;Via Nascimben
37770598;;;Strada del Nascimben;Via Nascimben
37770606;;;Strada Ghirada;Via Ghirada
37770608;;;Strada del Nascimben;Via Nascimben
37770609;;;Strada del Nascimben;Via Nascimben
38422751;;;Strada San Zeno;Via San Zeno
38422755;;;Via Pietro Andrea Saccardo;Via Pier Andrea Saccardo
38678108;;;Via Boiago;Strada di Boiago
45482429;;;Via Feltrina;Strada Feltrina
45482430;;;Viale 24 Maggio;Viale Ventiquattro Maggio
45482442;;;Via Feltrina;Strada Feltrina
45482444;;;Via Feltrina;Strada Feltrina
45485961;;;Via Feltrina;Strada Feltrina
45512485;;;Viale Montegrappa;Viale Monte Grappa
45512486;;;Via 7 Aprile 1944;Via Sette Aprile
45584115;;;Via Galletto;Strada del Galletto
45585849;;;Via Feltrina;Strada Feltrina
45745909;;;Porta Frà Giocondo;Ponte fra' Giocondo
45746298;;;Porta Caccianiga;Varco Antonio Caccianiga
45746333;;;Porta Caccianiga;Varco Antonio Caccianiga
45746953;;;Porta Frà Giocondo;Ponte fra' Giocondo
45747139;;;Viale Lancieri di Novara;Via Lancieri di Novara
45857422;;;Via Fogazzaro;Via Antonio Fogazzaro
45873920;;;Viale Montegrappa;Viale Monte Grappa
45900345;;;Via Zorzi;Via Silvio Zorzi
45900350;;;Via Zorzi;Via Silvio Zorzi
46193355;;;Via dei Campi sportivi;Via dei Campi Sportivi
46193358;;;Via P. De Coubertin;Via Pierre de Coubertin
46193359;;;Via A.Tronconi;Via Alessandro Tronconi
46194624;;;Via Mons. A.Mantiero;Via Antonio Mantiero
46194625;;;Via Mons. A.Mantiero;Via Antonio Mantiero
46258762;;;Via Bernardino Bison;Via Giuseppe Bernardino Bison
46431176;;;Via Daniele Montenumici;Via Daniele Monterumici
46431183;;;Via Graziano Appiani;Viale Graziano Appiani
46431429;;;Via Graziano Appiani;Viale Graziano Appiani
48131975;;;Via dei Mille;Viale dei Mille
48181074;;;Via B.Marcello;Via Benedetto Marcello
48181075;;;Via B.Marcello;Via Benedetto Marcello
48181077;;;Vicolo dei Morer;Vicolo del Morer
48763710;;;Via Mure di San Teonisto;Via Mura San Teonisto
49777520;;;Via Pozzobon;Via Giovanni Pozzobon
49777561;;;Via Steffani;Via Agostino Steffani
49777860;;;Via Sartori;Via Luigi Sartori
49864943;;;Via Don Luigi Sturzo;Via don Luigi Sturzo
50287989;;;Via girolamo Li Causi;Via Girolamo Li Causi
50737068;;;Via Foiana;Strada Foiana
51917947;;;Ponte Garibaldi;Ponte Giuseppe Garibaldi
51919655;;;Viale 4 Novembre;Viale Quattro Novembre
51919660;;;Viale 4 Novembre;Viale Quattro Novembre
51930725;;;Porta Manzoni;Varco San Bartolomeo
51930726;;;Porta Manzoni;Varco San Bartolomeo
51930928;;;Porta Manzoni;Varco San Bartolomeo
51930929;;;Porta Manzoni;Varco San Bartolomeo
51932373;;;Viale Burchiellati;Viale Bartolomeo Burchiellati
51932451;;;Via Filippin;Via Filippini
51939203;;;Viale Lancieri di Novara;Via Lancieri di Novara
51939204;;;Viale Lancieri di Novara;Via Lancieri di Novara
51944573;;;Viale dei Cacciatori;Viale Cacciatori
51944574;;;Viale dei Cacciatori;Viale Cacciatori
51944575;;;Viale dei Cacciatori;Viale Cacciatori
51948243;;;Porta Caccianiga;Varco Antonio Caccianiga
51948244;;;Porta Caccianiga;Varco Antonio Caccianiga
51948246;;;Porta Caccianiga;Varco Antonio Caccianiga
51948247;;;Porta Caccianiga;Varco Antonio Caccianiga
51966801;;;Vicolo 20 Settembre;Vicolo Venti Settembre
51981608;;;Vicolo Giuseppe Toniolo;Via Giuseppe Toniolo
51983852;;;Via Fiumicelli;Via Lodovico Fiumicelli
51984959;;;Via Tommaso Da Modena;Via Tommaso da Modena
51985372;;;Via Tommaso Da Modena;Via Tommaso da Modena
51985387;;;Via Tommaso Da Modena;Via Tommaso da Modena
51985388;;;Via Tommaso Da Modena;Via Tommaso da Modena
54168492;;;Via Monsignor Angelo Marchesan;Via Angelo Marchesan
55337779;;;Via la Bassa;Strada la Bassa
61099266;;;Via Paris Bordon;Via Paris Bordone
62318951;;;Strada Comunale Corti;Strada comunale delle Corti
62318952;;;Via della Madonnetta;Strada della Madonetta
62318956;;;Via della Madonnetta;Strada della Madonetta
62318957;;;Via 55° Fanteria;Via Cinquantacinquesimo Reggimento Fanteria
62318960;;;Via A. Radaelli;Via Alberto Radaelli
62318966;;;Via A. Beazzano;Via Agostino Beazzano
62318967;;;Via A. Radaelli;Via Alberto Radaelli
62318972;;;Via Avogadro Rambaldo degli Azzoni;Via Rambaldo degli Azzoni Avogadro
62318975;;;Via Feruglio;Via Manlio Feruglio
