NOME_VIA;NOME_NORM
VIA FONDERIA;Via Fonderia
VIA FAMIGLIA FONTEBASSO;Via Famiglia Fontebasso
VIA VECCHIA SANT' ANGELO;Via vecchia Sant'Angelo
VIA TORRE D' ORLANDO;Via Torre d'Orlando
STRADA COMUNALE DI SAN VITALE;Strada comunale di San Vitale
PONTE FRATELLI CAIROLI;Ponte Fratelli Cairoli
PIAZZETTA CARTE DA GIOCO FRATELLI DAL NEGRO;Piazzetta Carte da Gioco Fratelli dal Negro
VIA PO (STRADA STATALE 53);Via Po
VIA ADIGE (STRADA STATALE 53);Via Adige
VIA BRENTA (STRADA STATALE 53);Via Brenta
VIA LIVENZA (STRADA STATALE 53);Via Livenza
VICOLO CALMAGGIORE;Vicolo Calmaggiore
PIAZZETTA ALDO MORO;Piazzetta Aldo Moro
VICOLO BURANELLI;Vicolo Buranelli
VICOLO DI ROVERO;Vicolo di Rovero
VIA DELL' ANSA;Via dell'Ansa
STRADA DELLA MADONETTA;Strada della Madonetta
GALLERIA DELLA DOGANA;Galleria della Dogana
VIA MASSIMO D' AZEGLIO;Via Massimo d'Azeglio
VIALE BARTOLOMEO D' ALVIANO;Viale Bartolomeo d'Alviano
VIA MANTIERO ANTONIO;Via Antonio Mantiero
VIA GIO BATTISTA MANDRUZZATO;Via Giovan Battista Mandruzzato
BORGO FURO DI SANTA BONA;Borgo Furo di Santa Bona
VIA LUIGI EINAUDI;Via Luigi Einaudi
PONTE SAN CHILIANO;Ponte San Chiliano
CORSO DEL POPOLO;Corso del Popolo
STRADA DEI VENTI;Strada dei Venti
VIA DELL' IMMACOLATA;Via dell'Immacolata
VICOLO PANCIERA;Vicolo Panciera
PIAZZA UNITA' D' ITALIA;Piazza Unità d'Italia
PIAZZA GIOSUE' CARDUCCI;Piazza Giosuè Carducci
VIA SANTE DORIGO;Via Sante Dorigo
VICOLO ROGGIA;Vicolo Roggia
VIA CASTELLO D' AMORE;Via Castello d'Amore
VIA SANTE CANCIAN;Via Sante Cancian
VIA 33' REGGIMENTO ARTIGLIERIA;Via Trentatreesimo Reggimento Artiglieria
VICOLO FILIPPINI;Vicolo Filippini
PONTE GIUSEPPE GARIBALDI;Ponte Giuseppe Garibaldi
VIA GRIMALDI PRATI MARGHERITA;Via Margherita Grimaldi Prati
VIA RAMBALDO DEGLI AZZONI AVOGADRO;Via Rambaldo degli Azzoni Avogadro
VIA GIAMBATTISTA TIEPOLO;Via Giambattista Tiepolo
VIA TERRAGLIO;Via Terraglio
VIA STRETTA;Via Stretta
VIA GUISCARDO SBROJAVACCA;Via Guiscardo Sbrojavacca
VIA LUIGI SARTORI;Via Luigi Sartori
VIA SAMBUGOLE;Via Sambugole
VIA TOMMASO SALSA;Via Tommaso Salsa
VIA BERNARDO SALOMONI;Via Bernardo Salomoni
VIA SABOTINO;Via Sabotino
VIA SAN ZENO;Via San Zeno
VIA SANT' ELENA IMPERATRICE;Via Sant'Elena Imperatrice
STRADA SANTA BONA VECCHIA;Strada Santa Bona Vecchia
VIA SANT' ANGELO;Via Sant'Angelo
VIA SANT' AGOSTINO;Via Sant'Agostino
STRADA SANT' AGNESE;Strada Sant'Agnese
VIA EUGENIO ROTA;Via Eugenio Rota
VIA RONCOLE;Via Roncole
VIA ANGELO RONCHESE;Via Angelo Ronchese
VIA ROGGIA;Via Roggia
VIA GIOVANNI RIZZI;Via Giovanni Rizzi
VICOLO GIACOMO ZANELLA;Vicolo Giacomo Zanella
VIA GIACOMO ZANELLA;Via Giacomo Zanella
VIA ROSA ZALIVANI;Via Rosa Zalivani
VIALE VITTORIO VENETO;Viale Vittorio Veneto
VIA VICENZA;Via Vicenza
VIA OTTAVIO OTTAVI;Via Ottavio Ottavi
VIA OSPEDALE PROVINCIALE;Via Ospedale Provinciale
VIA ORSOLINE;Via Orsoline
VIA ORSENIGO;Via Orsenigo
VIALE ORLEANS;Viale Orleans
VIA GIUSEPPE E LUIGI OLIVI;Via Giuseppe e Luigi Olivi
VIA NOALESE;Via Noalese
VIA DELLA MONCIA;Via della Moncia
VICOLO DEL POZZETTO;Vicolo del Pozzetto
STRADA DEL POZZETTO;Strada del Pozzetto
VIA GERARDO DE LISA;Via Gerardo De Lisa
VIA DALMAZIA;Via Dalmazia
VIA FRANCESCO DA MILANO;Via Francesco da Milano
VIA CORNUDA;Via Cornuda
VIA CORNARE;Via Cornare
VIA ADRIANO AUGUSTO MICHIELI;Via Adriano Augusto Michieli
BORGO MESTRE;Borgo Mestre
VIA LUIGI MENEGHETTI;Via Luigi Meneghetti
LUNGOSILE ANTONIO MATTEI;Lungosile Antonio Mattei
VIA ANGELO MARCHESAN;Via Angelo Marchesan
VIA DANIELE MANIN;Via Daniele Manin
VIA GRAVE DI PAPADOPOLI;Via Grave di Papadopoli
VIA ANTONIO GRAMSCI;Via Antonio Gramsci
VIA GIORGIONE;Via Giorgione
VIA GHIRADA;Via Ghirada
VIA GENOVA;Via Genova
STRADA FELTRINA;Strada Feltrina
VIALE GIAN GIACOMO FELISSENT;Viale Gian Giacomo Felissent
VIA EVERARDO;Via Everardo
VIALE EUROPA;Viale Europa
VIA BERNARDINO TOMITANO;Via Bernardino Tomitano
VIA EL ALAMEIN;Via El Alamein
VIA DOSSON;Via Dosson
VIA PIRANO;Via Pirano
VIA LUIGI PINELLI;Via Luigi Pinelli
VIA PIEMONTE;Via Piemonte
VIA PIAVESELLA;Via Piavesella
VIA PIAVE;Via Piave
VIA FRANCESCO PETRARCA;Via Francesco Petrarca
VIA MARCO PELLICCIAIO;Via Marco Pellicciaio
VIA LEON BATTISTA ALBERTI;Via Leon Battista Alberti
VIA JACOPO BERNARDI;Via Jacopo Bernardi
VIA TREVISI;Via Trevisi
VIA PARIS BORDONE;Via Paris Bordone
STRADA DEL MOZZATO;Strada del Mozzato
VIA GIROLAMO LI CAUSI;Via Girolamo Li Causi
VIA FRANCESCO ERIZZO;Via Francesco Erizzo
VIA BELGIO;Via Belgio
VICOLO QUINDICI LUGLIO;Vicolo Quindici Luglio
VIA GIULIO DE ZULIANI;Via Giulio de Zuliani
VIA ALDO VOLTOLIN;Via Aldo Voltolin
VIA JACOPO SANSOVINO;Via Jacopo Sansovino
VIA GABRIELE D' ANNUNZIO;Via Gabriele D'Annunzio
VIA GUIDO BERGAMO;Via Guido Bergamo
GALLERIA BAILO;Galleria Bailo
VIA GIORGIO MASSARI;Via Giorgio Massari
VIA CASTELLANA;Via Castellana
VIA SANTA BARBARA;Via Santa Barbara
STRADA CASTAGNOLE;Strada Castagnole
VIA CASONI;Via Casoni
VIA CASA DI RICOVERO;Via Casa di Ricovero
VIA CACCIATORI DEL SILE;Via Cacciatori del Sile
STRADA DI CA' ZENOBIO;Strada di Ca' Zenobio
VIALE BRIGATA TREVISO;Viale Brigata Treviso
VIALE BRIGATA MARCHE;Viale Brigata Marche
VIA DONATO BRAMANTE;Via Donato Bramante
VIA GIUSEPPE BENZI;Via Giuseppe Benzi
VIA ANTONIO BELLUCCI;Via Antonio Bellucci
VIALE CESARE BATTISTI;Viale Cesare Battisti
VIA AGOSTINO BATTISTEL;Via Agostino Battistel
VIA UGO BASSI;Via Ugo Bassi
VIA FRANCESCO BARACCA;Via Francesco Baracca
VIA BAGAGGIA SCIPIONE;Via Bagaggia Scipione
STRADA DELL' AEROPORTO;Strada dell'Aeroporto
VIA ADAMELLO;Via Adamello
VIA 55' REGGIMENTO FANTERIA;Via Cinquantacinquesimo Reggimento Fanteria
STRADA CANIZZANO;Strada Canizzano
VIA CASETTE;Via Casette
STRADA LA BASSA;Strada la Bassa
VIA GIOVANNI VERGA;Via Giovanni Verga
VIALE GIUSEPPE VERDI;Viale Giuseppe Verdi
VIA GIOVANNI BATTISTA VERCI;Via Giovanni Battista Verci
VIA VENZONE;Via Venzone
VICOLO SEBASTIANO VENIER;Vicolo Sebastiano Venier
VIA SEBASTIANO VENIER;Via Sebastiano Venier
BORGO VENEZIA;Borgo Venezia
VIA ANDREA VENDRAMIN;Via Andrea Vendramin
VIA FORTUNATO VENANZIO;Via Fortunato Venanzio
VIA TIZIANO VECELLIO;Via Tiziano Vecellio
STRADA VECCHIA SAN PELAIO;Strada vecchia di San Pelaio
VIA VECCHIA DI QUINTO;Via Vecchia di Quinto
VIA GIORGIO VASARI;Via Giorgio Vasari
VIA UMBRIA;Via Umbria
LARGO UMANESIMO LATINO;Largo Umanesimo Latino
VIA ALESSANDRO TRONCONI;Via Alessandro Tronconi
VIA PRIAMO TRON;Via Priamo Tron
VIA ANGELO ZORZETTO;Via Angelo Zorzetto
VIA SILVIO ZORZI;Via Silvio Zorzi
VIALE TRENTO E TRIESTE;Viale Trento e Trieste
VIA TRE VENEZIE;Via Tre Venezie
LARGO TRE VENEZIE;Largo Tre Venezie
VIA TOSCANA;Via Toscana
VIA TORCELLO;Via Torcello
VIA GIUSEPPE TONIOLO;Via Giuseppe Toniolo
VIA TONI BENETTON;Via Toni Benetton
VIA NICOLO' TOMMASEO;Via Niccolò Tommaseo
VIA TOLPADA;Via Tolpada
VIA TOFANE;Via Tofane
VIA TITO GARZONI;Via Tito Garzoni
VIALE TERZA ARMATA;Viale Terza Armata
VIA CARLO STUPARICH;Via Carlo Stuparich
STRADELLA DI SAN PELAIO;Stradella di San Pelaio
VIA AGOSTINO STEFFANI;Via Agostino Steffani
VIA LUIGI STEFANINI;Via Luigi Stefanini
VIA STANGADE;Via Stangade
VIA NINO SPRINGOLO;Via Nino Springolo
VIA SPIGARIOLA;Via Spigariola
VIA AMBROGIO SPIERA;Via Ambrogio Spiera
VIA SOVERNIGO PORCELLENGO;Via Sovernigo Porcellengo
VIA SORDELLO DA GOITO;Via Sordello da Goito
VIA SIORA ANDRIANA DEL VESCOVO;Via Siora Andriana del Vescovo
VIA SICILIA;Via Sicilia
VICOLO SETTE APRILE;Vicolo Sette Aprile
VIA SETTE APRILE;Via Sette Aprile
VIALE XXIV MAGGIO;Viale Ventiquattro Maggio
VIA AUGUSTO E LUIGI SERENA;Via Augusto e Luigi Serena
VIA RICCARDO SELVATICO;Via Riccardo Selvatico
VIA SELVANA;Via Selvana
VIA LUDOVICO SEITZ;Via Ludovico Seitz
STRADA SCUDETTO;Strada Scudetto
VIA ANTONIO SCARPA;Via Antonio Scarpa
VICOLO GIAN GIROLAMO SAVOLDO;Vicolo Gian Girolamo Savoldo
BORGO SAVOIA;Borgo Savoia
VIA LUIGI SARTORIO;Via Luigi Sartorio
VIA PAOLO SARPI;Via Paolo Sarpi
VIA ANTONIO SANTALENA;Via Antonio Santalena
VIA SAMBUGHE';Via Sambughè
VIA SALVO D' ACQUISTO;Via Salvo d'Acquisto
VIA PIER ANDREA SACCARDO;Via Pier Andrea Saccardo
VIA UMBERTO SABA;Via Umberto Saba
VICOLO B SAN ZENO;Vicolo San Zeno B
PIAZZA SAN VITO;Piazza San Vito
VIA VICINALE SAN VITALE;Via vicinale di San Vitale
VIA SAN TROVASO;Via San Trovaso
STRADA DI SAN PELAIO;Strada di San Pelaio
VIA MONTELLO;Via Montello
VICOLO E SAN PELAIO;Vicolo San Pelaio E
VICOLO B SAN PELAIO;Vicolo San Pelaio B
VICOLO SAN PANCRAZIO;Vicolo San Pancrazio
VIA SANT' OSVALDO;Via Sant'Osvaldo
VIA SAN NICOLO';Via San Nicolò
VIA SAN MARTINO;Via San Martino
VIA SANTA MARIA DI CA' FANCELLO;Via Santa Maria di Ca' Fancello
VIA SANTA MARIA DEL SILE;Via Santa Maria del Sile
VIA SANTA MARGHERITA;Via Santa Margherita
RIVIERA SANTA MARGHERITA;Riviera Santa Margherita
VIA CASTELMENARDO;Via Castelmenardo
VIA SAN LIBERALE;Via San Liberale
VIA SAN LAZZARO;Via San Lazzaro
VIA SAN GIROLAMO EMILIANI;Via San Girolamo Emiliani
VIA SAN GERVASIO;Via San Gervasio
VIA SAN FRANCESCO DI SALES;Via San Francesco di Sales
VICOLO CA' ZENOBIO;Vicolo Ca' Zenobio
STRADELLA B INTERNA;Stradella Interna B
PIAZZALE BARTOLOMEO BURCHIELLATI;Piazzale Bartolomeo Burchiellati
PONTE ANTONIO MAZZAROLLI;Ponte Antonio Mazzarolli
VIA DECORATI AL VALORE MILITARE;Via Decorati al Valore Militare
VIA ANTONIO CAVARZERANI;Via Antonio Cavarzerani
PORTA SAN TOMASO;Porta San Tomaso
VARCO ANTONIO CACCIANIGA;Varco Antonio Caccianiga
VIA VARCO SANTA MARGHERITA;Varco Santa Margherita
VIA LODOVICO FIUMICELLI;Via Lodovico Fiumicelli
PONTE ALCIDE DE GASPERI;Ponte Alcide De Gasperi
PONTE BURANELLI;Ponte Buranelli
GIARDINI BEATO PADRE MARCO D' AVIANO;Giardini Beato Padre Marco d'Aviano
VIA D' AVIANO PADRE MARCO BEATO 1631-1693;Via d'Aviano Padre Marco Beato 1631-1693
GIARDINI GIUSEPPE MAZZOTTI;Giardini Giuseppe Mazzotti
PONTE SILETTO;Ponte Siletto
PONTE SAN MICHELE;Ponte San Michele
PONTE SCORZERIE;Ponte delle Scorzerie
PONTE SAN PARISIO;Ponte San Parisio
PONTE MALVASIA;Ponte Malvasia
PONTE TRIPERI;Ponte Triperi
PONTE SANT' AGATA;Ponte Sant'Agata
VIA SANT' AGATA;Via Sant'Agata
GIARDINI GIOVANNI  BARBISAN;Giardini Giovanni Barbisan
PONTE DELL' OLIVA;Ponte dell'Oliva
VIA JACOPO RICCATI;Via Jacopo Riccati
PONTE CASTELMENARDO;Ponte Castelmenardo
PIAZZETTA CADUTI NEI LAGER 1943-45;Piazzetta Caduti Nei Lager 1943-45
PONTE RINALDI;Ponte Rinaldi
PIAZZA BOSCO DEL RESPIRO;Piazza Bosco del Respiro
PONTE AVOGARI;Ponte Avogari
PORTA ALTINIA;Porta Altinia
VIALE MICHELANGELO;Viale Michelangelo
VIA UMBERTO COSMO;Via Umberto Cosmo
VIALE OLIMPIA;Viale Olimpia
VIALE MONFENERA;Viale Monfenera
VIA LUIGI CARRER;Via Luigi Carrer
STRADA DI BOIAGO;Strada di Boiago
VIA SANT' ANTONINO;Via Sant'Antonino
VIA TIMAVO;Via Timavo
VIA SANTE ZANON;Via Sante Zanon
VIA GIOVANNI ZANIOL;Via Giovanni Zaniol
VIA LUIGI ZANGRANDO;Via Luigi Zangrando
VIA ANTONIO ZANCHI;Via Antonio Zanchi
VIA ANTONIO VIVALDI;Via Antonio Vivaldi
VIA EMILIO ZAGO;Via Emilio Zago
STRADA VICINALE CORTI;Strada vicinale delle Corti
VIA PAOLO VERONESE;Via Paolo Veronese
VIA VERONA;Via Verona
VIA PEGORILE;Via Pegorile
VIA PASUBIO;Via Pasubio
VIA PASTRENGO;Via Pastrengo
VIA PASTORI;Via Pastori
VIA STRADELLE;Via Stradelle
VIA CESARE PAVESE;Via Cesare Pavese
VIALE LUIGI PASTEUR;Viale Luigi Pasteur
VIA PASSO BUOLE;Via Passo Buole
VIA PARENZO;Via Parenzo
VIA PANIGAI;Via Panigai
VIA PANCIERA;Via Panciera
VIA PALUDI;Via Paludi
VIA PALUDETTI;Via Paludetti
VIA ANTONIO BORIN;Via Antonio Borin
VIA BARBANO DA TREVISO;Via Barbano da Treviso
STRADA COMUNALE CORTI;Strada comunale delle Corti
VIALE NAZIONI UNITE;Viale Nazioni Unite
VIA DOTTI;Via Dotti
VIA CALMAGGIORE;Via Calmaggiore
VIA INFERIORE;Via Inferiore
LARGO TOTILA;Largo Totila
VIA QUIRICO TURAZZA;Via Quirico Turazza
VICOLO DEL DUOMO;Vicolo del Duomo
VIA DELLE ABSIDI;Via delle Absidi
VICOLO DELLA BUSTA;Vicolo della Busta
VIA SANTA CATERINA;Via Santa Caterina
PIAZZETTA SANTA MARIA MADDALENA;Piazzetta Santa Maria Maddalena
PONTE SAN CRISTOFORO;Ponte San Cristoforo
PIAZZA TOMMASINI;Piazza Tommasini
VIA TOMMASO DA MODENA;Via Tommaso da Modena
VICOLO FONDERIA;Vicolo Fonderia
VIALE DELLA REPUBBLICA;Viale della Repubblica
VIA ZERMANESE;Via Zermanese
VIA ANTONIO ZEZZOS;Via Antonio Zezzos
VICOLO ANTONIO ZEZZOS;Vicolo Antonio Zezzos
VIA ZECCHETTE;Via Zecchette
VIA ZARA;Via Zara
VIA PALESTRO;Via Palestro
VIA PIETRO PALEOCAPA;Via Pietro Paleocapa
VIA FERDINANDO PALASCIANO;Via Ferdinando Palasciano
VIA LUIGI PAGANI CESA;Via Luigi Pagani Cesa
VIA PADRE MASSIMILIANO KOLBE;Via Padre Massimiliano Kolbe
VIA OSPEDALE;Via Ospedale
VIA OSLAVIA;Via Oslavia
VIA POZZUOLO DEL FRIULI;Via Pozzuolo del Friuli
VIA ORTIGARA;Via Ortigara
VIA ALFREDO ORIANI;Via Alfredo Oriani
VIA ODERZO;Via Oderzo
VIALE GUGLIELMO OBERDAN;Viale Guglielmo Oberdan
VIA GAETANO DONIZETTI;Via Gaetano Donizetti
VIA GIUSEPPE DONATI;Via Giuseppe Donati
VIA DON LUIGI STURZO;Via don Luigi Sturzo
VIA DON GIOVANNI FAVARETTO;Via don Giovanni Favaretto
VIA DOGALI;Via Dogali
VIA DELL' ISOLA;Via dell'Isola
VIA DELLE VERINE;Via delle Verine
VIA DELLE PRADE;Via delle Prade
VIA DELLE MARIE;Via delle Marie
VIA DELLE FONTANELLE;Via delle Fontanelle
VIA DELLE CAVE;Via delle Cave
VIA DELLE CASELLE;Via delle Caselle
VIA DELLE BOTTERE;Via delle Bottere
VIA DELLE BELLE GAMBE;Via delle Belle Gambe
VIA DELLE ACQUETTE;Via delle Acquette
VIA DELLA STORGA;Via della Storga
VIALE DELLA SERENISSIMA;Viale della Serenissima
VIA DELLA QUERCIA;Via della Quercia
VIA DELLA LIBERAZIONE;Via della Liberazione
STRADA DELLA FERROVIA;Strada della Ferrovia
GALLERIA LATINA;Galleria Latina
PIAZZA DEL QUARTIERE LATINO;Piazza del Quartiere Latino
VIA DEL TERMINE;Via del Termine
VIA GENERALE EMANUELE DEL PRA';Via generale Emanuele del Prà
VIA DEL PASSO;Via del Passo
VIA DEL MORER;Via del Morer
VIA DEL GELSO;Via del Gelso
VICOLO DEL GALLO;Vicolo del Gallo
STRADA DEL GALLETTO;Strada del Galletto
VIA DEL DAINO;Via del Daino
VIA DEL COMUNE;Via del Comune
VIA DEI ZOTTI;Via dei Zotti
VIA DEI VEGRI;Via dei Vegri
STRADA SANTA BONA NUOVA;Strada Santa Bona Nuova
VICOLO SAN BARTOLOMEO;Vicolo San Bartolomeo
STRADA SAN BARTOLOMEO;Strada San Bartolomeo
VIA SANT' ARTEMIO;Via Sant'Artemio
VICOLO B SANT' ANTONINO;Vicolo Sant'Antonino B
VIA SANT' ANNA;Via Sant'Anna
VIA SANT' AMBROGIO DI FIERA;Via Sant'Ambrogio di Fiera
STRADA DEI TAPPI;Strada dei Tappi
VIA DEI PICCHI;Via dei Picchi
VIA DEI MONCINI;Via dei Moncini
VIALE DEI MILLE;Viale dei Mille
VIA DEI GREDI;Via dei Gredi
VIA DEI DALL' ORO;Via dei Dall'Oro
VIA DEI DA PRATA;Via dei Da Prata
VIA DEI COMIN;Via dei Comin
VIA DEI BRILLI;Via dei Brilli
STRADA DEI BISCARI;Strada dei Biscari
VIA DEGLI STRETTI;Via degli Stretti
VIA PIERRE DE COUBERTIN;Via Pierre de Coubertin
VIA ENRICO DANDOLO;Via Enrico Dandolo
VIA ANTONIO DAL LEGNAME;Via Antonio dal Legname
VIA LEONARDO DA VINCI;Via Leonardo da Vinci
VIA ANTONIO DA SANGALLO;Via Antonio da Sangallo
VIA LORENZO DA PONTE;Via Lorenzo da Ponte
VIA ALBERTINO DA CORONA;Via Albertino da Corona
VIA GIOVANNI D' ALESSI;Via Giovanni d'Alessi
VIA BENEDETTO CROCE;Via Benedetto Croce
VIA LORENZO CRICO;Via Lorenzo Crico
VIA VINCENZO MARIA CORONELLI;Via Vincenzo Maria Coronelli
VIA GIULIO CORNELIO GRAZIANO;Via Giulio Cornelio Graziano
VIA CORNAROTTA;Via Cornarotta
VIA ALESSANDRO PERICLE NINNI;Via Alessandro Pericle Ninni
VIA IPPOLITO NIEVO;Via Ippolito Nievo
VIA SERNAGLIA DELLA BATTAGLIA;Via Sernaglia della Battaglia
VIA NERVESA DELLA BATTAGLIA;Via Nervesa della Battaglia
VIA RUZANTE;Via Ruzante
VIA ROTONDA;Via Rotonda
VIA GINO ROSSI;Via Gino Rossi
VIA ANTONIO ROSMINI;Via Antonio Rosmini
VIA ROMA;Via Roma
VIA ROLANDELLO;Via Rolandello
VIA RODI;Via Rodi
VIA GINO ROCCA;Via Gino Rocca
VIA RISORGIMENTO;Via Risorgimento
VIA AMBROGIO RIGAMONTI;Via Ambrogio Rigamonti
PIAZZA MAESTRI DEL LAVORO;Piazza Maestri del Lavoro
VICOLO MANDRUZZATO G.B.;Vicolo Giovan Battista Mandruzzato
VIA MARIA E NATALE MAZZOLA';Via Maria e Natale Mazzolà
VIA FERRUCCIO CAPUZZO;Via Ferruccio Capuzzo
VIA CITTADELLA DELLA SALUTE;Via Cittadella della Salute
VIA TOGNANA RACHELE;Via Tognana Rachele
VIA MARINO CORDER;Via Marino Corder
PIAZZA DELLE ISTITUZIONI;Piazza delle Istituzioni
VIALE SAN MARCO;Viale San Marco
VIA GIORGIO AMBROSOLI;Via Giorgio Ambrosoli
VIA GASPARE GHIRLANDA;Via Gaspare Ghirlanda
VIA LOVERA;Via Lovera
VIA CERTOSA DEL MONTELLO;Via Certosa del Montello
VIA SAN GIOVANNI BOSCO;Via San Giovanni Bosco
VIA GIUSEPPE MAFFIOLI;Via Giuseppe Maffioli
VIA DON ENRICO CAGNIN;Via don Enrico Cagnin
VIA GIUSEPPE BERTO;Via Giuseppe Berto
VIA CARLO ANTONIUTTI;Via Carlo Antoniutti
VIALE MONTE GRAPPA;Viale Monte Grappa
VIALE LUIGI LUZZATTI;Viale Luigi Luzzatti
VIA LUNGO SILE;Via Lungo Sile
VIA ANDREA LUCCHESI;Via Andrea Lucchesi
VIA DOMENICO LOSCHI;Via Domenico Loschi
VIA LOMBARDIA;Via Lombardia
VICOLO LIMBRAGA;Vicolo Limbraga
VIA LIGURIA;Via Liguria
VIA LIBIA;Via Libia
VIA RUGGERO LEONCAVALLO;Via Ruggero Leoncavallo
VIA LEGA LOMBARDA;Via Lega Lombarda
VIA ATTILIO LAZZARI;Via Attilio Lazzari
VIA LAZIO;Via Lazio
VIA LANCIERI DI NOVARA;Via Lancieri di Novara
VIA LANCENIGO;Via Lancenigo
VIA KAPPA DUE;Via K2
VIALE ITALIA;Viale Italia
VIA ISONZO;Via Isonzo
VIA ISOLA DI MEZZO;Via Isola di Mezzo
VIA INGHILTERRA;Via Inghilterra
VIA NICOLA DI FULVIO;Via Nicola di Fulvio
VIA GIOVANNI MARINI;Via Giovanni Marini
VIA GRUPPO CONEGLIANO;Via Gruppo Conegliano
VIA ANDREA GRITTI;Via Andrea Gritti
VIA GRECIA;Via Grecia
STRADA GRANZETTA;Strada Granzetta
