DEBUG;NOME_VIA;NOME_NORM;DIST
0;Piazzetta Maestri del Lavoro;Piazzetta Maestri del Lavoro;1.0
0;Via Camera di Commercio;Via Camera di Commercio;1.0
0;Via Amatore Sciesa;Via Amatore Sciesa;1.0
1;Via Cimitero;Via Cimitero;1.0
1;Corso Cavour;Corso Cavour;1.0
0;Via Ciro Ferrari;Via Ciro Ferrari;1.0
0;Largo stazione vecchia;Largo Stazione Vecchia;1.0
1;Via Segorte;Via Segorte;1.0
1;Via Sole;Via Sole;1.0
0;Via Forte Tomba;Via Forte Tomba;1.0
1;Via Pomposa;Via Pomposa;1.0
1;Piazzetta Scala;Piazzetta Scala;1.0
0;Vicolo San Gaetano;Vicolo San Gaetano;1.0
2b;Via delle Maragnole;Via delle Magnolie;0.907407407407
1;Via Locri;Via Locri;1.0
0;Via Federico Da Montefeltro;Via Federico da Montefeltro;1.0
2a;Vicolo San Michele alla Porta;Vicolo San Michele alla Porta;1.0
1;Via Ruffoni;Via Giuseppe Ruffoni;0.816496580928
1;Via Barni;Via Giuseppe Barni;0.816496580928
0;Via Nerio Toffaletti;Via Nerio Toffaletti;1.0
1;Via Copparo;Via Copparo;1.0
1;Vicolo Storto;Vicolo Storto;1.0
1;Via Polesella;Via Polesella;1.0
0;Via Col Bricon;Via Col Bricon;1.0
0;Strada del Casalino;Strada del Casalino;1.0
0;Via monte Cimone;Via Monte Cimone;1.0
1;Contrada Polese;Contrada Polese;1.0
0;Via Corno d'Aquilio;Via Corno d'Aquilio;1.0
0;Via delle Acacie;Via delle Acacie;1.0
1;Via Alfonsine;Via Alfonsine;1.0
1;Via Valeggio 58;Via Valeggio;0.816496580928
0;Vicolo Cieco San Clemente;Vicolo Cieco San Clemente;1.0
1;Piazza Nogara;Piazza Nogara;1.0
1;Via Sturzo;Via don Luigi Sturzo;0.707106781187
1;Via Adelardo;Via Adelardo;1.0
2b;Pista ciclabile Santa Lucia;Pista Ciclabile Santa Lucia;0.857777777778
1;Regaste Redentore;Regaste Redentore;1.0
2b;Vicolo Filippini;Vicolo Campanile Filippini;0.518518518519
0;Via Sanzio Benazzi;Via Sanzio Benazzi;1.0
1;Via Massimiliano Tombelli;Via Massimiliano Trombelli;0.666666666667
0;Via Alessandro Turchi;Via Alessandro Turchi;1.0
0;Via San Giacomo;Via San Giacomo;1.0
0;Via Monte Cucco;Via Monte Cucco;1.0
0;Via San Mattia;Via San Mattia;1.0
1;Via Sabotino;Via Sabotino;1.0
