SUBSTITUTIONS LOG
	Number of ways with tag 'name': 5067
		Number of substitutions of the 'name': 722
		Number of deletions of the 'name': 11
	Number of ways with tag 'addr:street': 5
		Number of substitutions of the 'addr:street': 0
		Number of deletions of the 'addr:street': 0

SUBTITUTIONS LIST
WAY_ID;ADDR:STREET_old;ADDR:STREET_new;NAME_old;NAME_new
9887870;;;Piazzetta 16 Ottobre;Piazza Sedici Ottobre
13228064;;;Viale Piave;Viale del Piave
15974837;;;Via Emo;Via Angelo Emo
16952845;;;Via San Camillo De Lellis;Via San Camillo de Lellis
22276894;;;Ponte Garibaldi;Ponte Giuseppe Garibaldi
22276905;;;Via 24 Maggio;Via Ventiquattro Maggio
22276946;;;Viale Gianbattista Da Monte;Via Gianbattista da Monte
23091837;;;Via Don Domenico Mercante;Via don Domenico Mercante
23091858;;;Via Don Enrico Girardi;Via don Enrico Girardi
23091874;;;Via 6 Maggio;Via Sei Maggio
23097795;;;Viale Francia;Via Francia
23097796;;;Viale Francia;Via Francia
23163716;;;Via Urbano III;Via Urbano terzo
23222167;;;Via Dominutti;Via Alberto Dominutti
23222260;;;Via Ascari;Via Antonio Ascari
23799870;;;Piazza Frà Giovanni;Piazza fra' Giovanni
23900752;;;Ponte Unità d'Italia;Ponte dell'Unità d'Italia
23915470;;;Via Armando Diaz;Via generale Armando Diaz
23915501;;;Via passo Buole;Via Passo Buole
23926868;;;Via monte Cimone;Via Monte Cimone
23927047;;;Pazzale Ludovico Antonio Scuro;Piazzale Ludovico Antonio Scuro
23927057;;;Via Menegone;Via delle Menegone
23935980;;;Via Lungolori;Via Lungolorì
23936017;;;Via delle Tofane;Strada delle Tofane
23936297;;;Ponte Navi;Ponte delle Navi
23936349;;;Vicoletto cieco Dietro San Francesco;Vicoletto Cieco Dietro San Francesco
23962778;;;Via Nicolò Tommaseo;Via Niccolò Tommaseo
23962805;;;Via Nicolò Tommaseo;Via Niccolò Tommaseo
23962806;;;Via Nicolò Tommaseo;Via Niccolò Tommaseo
23963398;;;Via Caduti del Lavoro;Viale Caduti del Lavoro
23963435;;;Via Caduti del Lavoro;Viale Caduti del Lavoro
23963438;;;Via Caduti del Lavoro;Viale Caduti del Lavoro
23963977;;;Via Frà Giocondo;Via fra' Giocondo
23963979;;;Via Frà Giocondo;Via fra' Giocondo
24149349;;;Via Giancarlo Camozzini;Via Gian Carlo Camozzini
24149368;;;Via Giancarlo Camozzini;Via Gian Carlo Camozzini
24153436;;;Via Generale Gaetano Giardino;Via generale Gaetano Giardino
24153454;;;Via Giancarlo Camozzini;Via Gian Carlo Camozzini
24162832;;;Via G. Trezza;Via Gaetano Trezza
24186069;;;Ponte Risorgimento;Ponte del Risorgimento
24231022;;;Via Torbido;Via Francesco Torbido
24231576;;;Via 20 Settembre;Via Venti Settembre
24231586;;;Ponte Navi;Ponte delle Navi
24241745;;;Via Rosa Morando;Via Filippo Rosa Morando
24241940;;;Via 28 Marzo;Via Ventotto Marzo
24241941;;;Via ponte San Pancrazio;Via Ponte San Pancrazio
24244657;;;Via Leonardo Da Vinci;Via Leonardo da Vinci
24244694;;;Via Frà Giocondo;Via fra' Giocondo
24244711;;;Via Frà Giocondo;Via fra' Giocondo
24244719;;;Via Frà Giocondo;Via fra' Giocondo
24244969;;;Via Sansovino;Via Jacopo Sansovino
24244997;;;Via Longhena;Via Baldassare Longhena
24248527;;;Piazzale 25 Aprile;Piazzale Venticinque Aprile
24248724;;;Viale Colonnello Galliano;Viale colonnello Galliano
24259317;;;Strada Monte Villa;Strada Monte di Villa
24259429;;;Strada Monte Villa;Strada Monte di Villa
24270382;;;Via Vasco De Gama;Via Vasco de Gama
24364538;;;Via Cairoli;Via Francesco Cairoli
24364652;;;Via corte Farina;Corte Farina
24364689;;;Via Don Enrico Tazzoli;Via don Enrico Tazzoli
24364691;;;Via S. Angela Merici;Via Sant'Angela Merici
24364697;;;Vicolo cieco San Pietro Incarnario;Vicolo Cieco San Pietro Incarnario
