NOME;NOME_NORM
AUTOSTRADA A4 BRESCIA PADOVA;Autostrada A4 Brescia Padova
AUTOSTRADA A22 DEL BRENNERO;Autostrada A22 del Brennero
VICOLO ABAZIA;Vicolo Abazia
VIA GIUSEPPE CESARE ABBA;Via Giuseppe Cesare Abba
VIA DEGLI ABETI;Via degli Abeti
VIA ABRUZZO;Via Abruzzo
VIA DELLE ACACIE;Via delle Acacie
VICOLO ACCOLITI;Vicolo Accoliti
VIA DEGLI ACERI;Via degli Aceri
INTERRATO ACQUA MORTA;Interrato Acqua Morta
VIA ADAMELLO;Via Adamello
VIA GIUSEPPE ADAMI;Via Giuseppe Adami
VIA ADDA;Via Adda
VIA ADELARDO;Via Adelardo
VO ADIGE;Vo' Adige
VIA ADIGETTO;Via Adigetto
VIA ADRIA;Via Adria
VIA ADUA;Via Adua
VIA AEROPORTO ANGELO BERARDI;Via Aeroporto Angelo Berardi
VICOLO CIECO AGNELLO;Vicolo Cieco Agnello
VIA AGNO;Via Agno
VIA DELLE AGOSTINIANE;Via delle Agostiniane
VIALE DELL'AGRICOLTURA;Viale dell'Agricoltura
VIA AGRIGENTO;Via Agrigento
VIA AIDA;Via Aida
VIA ALBERE;Via Albere
PIAZZETTA DON GIACOMO ALBERIONE;Piazzetta don Giacomo Alberione
VIA VALENTINO ALBERTI;Via Valentino Alberti
VIA MATTEO ALBERTINI;Via Matteo Albertini
VIA SILVIO ALDRIGHETTI;Via Silvio Aldrighetti
PONTE ALEARDO ALEARDI;Ponte Aleardo Aleardi
VIA FRATELLI ALESSANDRI;Via Fratelli Alessandri
VIA OTTAVIO ALECCHI;Via Ottavio Alecchi
VIA ALFONSINE;Via Alfonsine
VIA ALGERI;Via Algeri
VIA DANTE ALIGHIERI;Via Dante Alighieri
VIA DEGLI ALPINI;Via degli Alpini
VIA DEGLI ALPINISTI VERONESI;Via degli Alpinisti Veronesi
STRADA DELL'ALPO;Strada dell'Alpo
VIA ALTICHIERO;Via Altichiero
VIA AMANTI;Via Amanti
VICOLO AMANTI;Vicolo Amanti
VIA GIOVANNI AMENDOLA;Via Giovanni Amendola
VIA COLONNELLO ALBERTO ANDREANI;Via colonnello Alberto Andreani
VIA ANFITEATRO;Via Anfiteatro
VIA DIETRO ANFITEATRO;Via Dietro Anfiteatro
VIA ANGELICA;Via Angelica
VIA ANIENE;Via Aniene
VIA GIOVANNI ANSELMI;Via Giovanni Anselmi
VIA CARLO ANTI;Via Carlo Anti
VIA FRANCESCO ANZANI;Via Francesco Anzani
VIA APOLLO;Via Apollo
VIA AQUILEIA;Via Aquileia
STRADA PER ARBIZZANO;Strada per Arbizzano
VIA ARCHE SCALIGERE;Via Arche Scaligere
VIA ARCHIMEDE;Via Archimede
VIA ARCOLE;Via Arcole
PIAZZA DEGLI ARDITI;Piazza degli Arditi
VIA ETTORE ARDUINO;Via Ettore Arduino
VIA ARE COLTRI;Via Are Coltri
VIA ARE ZOVO;Via Are Zovo
VIA ARGENTA;Via Argenta
VIA DELLE ARGONNE;Via delle Argonne
VIA ARIANO;Via Ariano
VIA LUDOVICO ARIOSTO;Via Ludovico Ariosto
VIA ARNO;Via Arno
VIA ARQUA';Via Arquà
PIAZZA ARSENALE;Piazza Arsenale
VIA ARSENALE;Via Arsenale
VIA DELL'ARTIGIANATO;Via dell'Artigianato
VIA DELL'ARTIGLIERE;Via dell'Artigliere
VIA DEGLI ARUSNATI;Via degli Arusnati
VIA ANTONIO ASCARI;Via Antonio Ascari
VIA ASIAGO;Via Asiago
VIA DEGLI ASI;Via degli Asi
VIA CARLOTTA ASCHIERI;Via Carlotta Aschieri
VIA GIOVAN MATTEO ASOLA;Via Giovan Matteo Asola
VIA ASPROMONTE;Via Aspromonte
VIA ASTICO;Via Astico
PIAZZALE ATLETI AZZURRI D'ITALIA;Piazzale Atleti Azzurri d'Italia
VIA MICHELOTTO ATTENDOLO;Via Michelotto Attendolo
LUNGADIGE ATTIRAGLIO;Lungadige Attiraglio
VIA DELL'AUTIERE;Via dell'Autiere
VIA ANTONIO AVENA;Via Antonio Avena
PIAZZA AVESA;Piazza Avesa
CONTRADA AVESANI;Contrada Avesani
VIA BARTOLOMEO AVESANI;Via Bartolomeo Avesani
VIA GIOVANNI ANDREA AVOGADRO;Via Giovanni Andrea Avogadro
PIAZZA BACANAL;Piazza Bacanal
VIA BACCHIGLIONE;Via Bacchiglione
VICOLO CIECO BACCO;Vicolo Cieco Bacco
VIA BARTOLOMEO BACILIERI;Via Bartolomeo Bacilieri
VICOLO BACOLA;Vicolo Bacola
GIARDINI ROBERT BADEN POWELL;Giardini Robert Baden Powell
VIA ANTONIO BADILE;Via Antonio Badile
VIA SANDRO BAGANZANI;Via Sandro Baganzani
VIA FEDERICO BALCONI;Via Federico Balconi
VIA DON GIUSEPPE BALDO;Via don Giuseppe Baldo
VICOLO BALENA;Vicolo Balena
VIA ANTONIO BALESTRA;Via Antonio Balestra
VIA FRATELLI BALLERINI;Via Fratelli Ballerini
VIA BANCHETTE;Via Banchette
VIA FRATELLI BANDIERA;Via Fratelli Bandiera
VIA CAMILLO BANZATTI;Via Camillo Banzatti
VIA FRANCESCO BARACCA;Via Francesco Baracca
VIA BARANA;Via Barana
VIA BERTO BARBARANI;Via Berto Barbarani
VOLTO BARBARO;Volto Barbaro
VIA ERMOLAO BARBARO;Via Ermolao Barbaro
VIA COSTANTINO BARBATO;Via Costantino Barbato
VIA GIUSEPPE BARBIERI;Via Giuseppe Barbieri
VIA BARCHETTA;Via Barchetta
VIA BARRUCCHELLA;Via Barrucchella
VIA GIUSEPPE BARNI;Via Giuseppe Barni
VIA EUGENIO BARSANTI;Via Eugenio Barsanti
PERCORSO CICLO PEDONALE GINO BARTALI;Percorso Ciclo Pedonale Gino Bartali
VIA GIACOMO BARUCCHI;Via Giacomo Barucchi
VIA BASSA;Via Bassa
VIA DON LUIGI BASSANI;Via don Luigi Bassani
VIA MARCANTONIO BASSETTI;Via Marcantonio Bassetti
VIA DON BASSI;Via don Bassi
VIA UGO BASSI;Via Ugo Bassi
VIA EDOARDO BASSINI;Via Edoardo Bassini
VIA BASSO ACQUAR;Via Basso Acquar
VICOLO BASSO ACQUAR;Vicolo Basso Acquar
VIA BASSONE;Via Bassone
VIA CESARE BATTISTI;Via Cesare Battisti
VIA GENERALE BAVA;Via generale Bava
VIA GIULIO CESARE BECELLI;Via Giulio Cesare Becelli
VIA BELFIORE;Via Belfiore
VIA BELGIO;Via Belgio
VIA BELLARIA;Via Bellaria
VIA GIOVACCHINO BELLEZZA;Via Giovacchino Bellezza
VIA GIUSEPPE GIOACCHINO BELLI;Via Giuseppe Gioacchino Belli
VIA VINCENZO BELLINI;Via Vincenzo Bellini
VIA MONSIGNOR LORENZO BELLOMI;Via monsignor Lorenzo Bellomi
VIA BELLUNO;Via Belluno
VIA GIUSEPPE BELLUZZO;Via Giuseppe Belluzzo
VIA MONSIGNOR LUIGI BELLOTTI;Via monsignor Luigi Bellotti
VIA BELOBONO;Via Belobono
VIA GIOVANNI BELTRAME;Via Giovanni Beltrame
VIA GINO BELTRAMINI;Via Gino Beltramini
VIA BELVEDERE;Via Belvedere
VIA CARLO BELVIGLIERI;Via Carlo Belviglieri
VIA FRANCESCO BENAGLIO;Via Francesco Benaglio
VIA SANZIO BENAZZI;Via Sanzio Benazzi
VIA BENCIVENGA BIONDANI;Via Bencivenga Biondani
VIA PASQUALINO BENEDETTI;Via Pasqualino Benedetti
VIA BENEDETTINE;Via Benedettine
GIARDINI PETER BENENSON;Giardini Peter Benenson
VIA BENGASI;Via Bengasi
VIA VINCENZO BENINI;Via Vincenzo Benini
VIA MARCANTONIO BENTEGODI;Via Marcantonio Bentegodi
CORTE BENTIVOGLIO;Corte Bentivoglio
VIA DON BEPO;Via don Bepo
VIA BERBERA;Via Berbera
PIAZZA ENRICO BERNARDI;Piazza Enrico Bernardi
VIA FRANCESCO BERNI;Via Francesco Berni
VIA BERNINI BURI;Via Bernini Buri
VIA DEL BERSAGLIERE;Via del Bersagliere
VIA ANTONIO BERTOLDI;Via Antonio Bertoldi
VIA DON GASPARE BERTONI;Via don Gaspare Bertoni
VIA CESARE BETTELONI;Via Cesare Betteloni
VIA ZACCARIA BETTI;Via Zaccaria Betti
VIA DELLE BETULLE;Via delle Betulle
VIA DEI BEVILACQUA;Via dei Bevilacqua
VIA BEZZECCA;Via Bezzecca
VIA GIUSEPPE BIADEGO;Via Giuseppe Biadego
VIA FRANCESCO BIANCHINI;Via Francesco Bianchini
VIA GIO BATTA BIANCOLINI;Via Gio Batta Biancolini
VIA DEI BIANCOSPINI;Via dei Biancospini
VIA LEOPOLDO BIASI;Via Leopoldo Biasi
VIA BINELUNGHE;Via Binelunghe
STRADELLA BIONDE;Stradella Bionde
VIA BIONDE;Via Bionde
VIA BIONDELLA;Via Biondella
VIA BISANO;Via Bisano
VIA BISENZIO;Via Bisenzio
VIALE NINO BIXIO;Viale Nino Bixio
VIA LUIGI BOCCHERINI;Via Luigi Boccherini
VIA UMBERTO BOCCIONI;Via Umberto Boccioni
VIA GIOVANNI BATTISTA BODONI;Via Giovanni Battista Bodoni
VIA UMBERTO BOGGIAN;Via Umberto Boggian
VIA BOGON;Via Bogon
VIA MATTEO BOIARDO;Via Matteo Boiardo
VIA ARRIGO BOITO;Via Arrigo Boito
VIA BOLDIERE;Via Boldiere
VIA BOLZANO;Via Bolzano
VIA BOMBARDI;Via Bombardi
VIA PINAMONTE BONACOLSI;Via Pinamonte Bonacolsi
VIA PIETRO BONALINO;Via Pietro Bonalino
VIA CATERINA BON BRENZONI;Via Caterina Bon Brenzoni
VIA JACOPO BONFADIO;Via Jacopo Bonfadio
VIA BONINCONTRO;Via Bonincontro
VIA LUIGI BONOMI;Via Luigi Bonomi
VIA BONUZZO SANT'ANNA;Via Bonuzzo Sant'Anna
VIA LUIGI BONZANINI;Via Luigi Bonzanini
STRADA DEL BORAGO;Strada del Borago
CONTRADA BORDELE';Contrada Bordelè
VICOLO BORELLA;Vicolo Borella
VICOLO CIECO BORGO TASCHERIO;Vicolo Cieco Borgo Tascherio
