DEBUG;NOME_VIA;NOME_NORM;DIST
0;Via Monte Sabotino;Via Monte Sabotino;1.0
2b;Via Fratelli Chiodi;Via Fioralpino Chiodi;0.75
0;Via Moneta Ernesto Teodoro;Via Ernesto Teodoro Moneta;1.0
1;Via G. Ghirotti;Via Gigi Ghirotti;0.666666666667
1;Via R. Pasi;Via Raffaele Pasi;0.666666666667
0;Via dei Mille;Via dei Mille;1.0
0;Via Randaccio Giovanni;Via Giovanni Randaccio;1.0
0;Contra' Manin Daniele;Contra' Daniele Manin;1.0
2;Via Cricoli;Viale Cricoli;
1;Strada Caperse;Strada delle Caperse;0.816496580928
0;Via Giuseppe Zampieri;Via Giuseppe Zampieri;1.0
1;Contrà Cantarane;Contra' Cantarane;1.0
0;Galleria Parco Città;Galleria Parco Città;1.0
1;Contrà Porti;Contra' Porti;1.0
0;Largo Fulton Robert;Largo Robert Fulton;1.0
0;Contra' del Guanto;Contra' del Guanto;1.0
0;Contra' Sant'Andrea;Contra' Sant'Andrea;1.0
0;Viale Cesare Augusto;Viale Cesare Augusto;1.0
0;Contra' XX Settembre;Contra' Venti Settembre;1.0
0;Via Magrini Antonio;Via Antonio Magrini;1.0
1;Via Col. Alessandro Avogadro Di Casanova;Via Alessandro Avogadro Casanova;0.816496580928
0;Via Luigi Settembrini;Via Luigi Settembrini;1.0
2b;Via San Giovanni Battista;Via San Giovanni Battista;0.822222222222
0;Strada Cul de Ola;Strada Cul de Ola;1.0
0;Viale del Mercato Nuovo;Viale del Mercato Nuovo;1.0
1;Via G. Costantini;Via Gaetano Costantini;0.666666666667
0;Contra' delle Morette;Contra' delle Morette;1.0
0;Stradella della Fossetta;Stradella della Fossetta;1.0
0;Strada di Casale;Strada di Casale;1.0
0;Contrada Mure S. Rocco;Contra' Mure San Rocco;1.0
1;Via Vittime Civili di guerra;Via Vittime Civili di Guerra;1.0
1;Via Falzarego;Via Falzarego;1.0
0;Via Antonio Cecchi;Via Antonio Cecchi;1.0
0;Contra' Ponte San Paolo;Contra' Ponte San Paolo;1.0
1;Strada Beregane;Strada delle Beregane;0.816496580928
1;Stradella Loschi;Stradella Loschi;1.0
0;Via Pietro Beroaldi;Via Pietro Beroaldi;1.0
1;Via Brennero;Via Brennero;1.0
0;Via dell'Arsenale;Via dell'Arsenale;1.0
2b;Via Fratelli Lewis;Via Fratelli Levis;0.893333333333
1;Via Pastrengo;Via Pastrengo;1.0
0;Viale delle Fornaci;Viale delle Fornaci;1.0
0;Via Formica Domenico;Via Domenico Formica;1.0
1;Viale Risorgimento;Viale Risorgimento Nazionale;0.816496580928
0;Viale 10 Giugno;Viale Dieci Giugno;1.0
0;Contra' Porton del Luzzo;Contra' Porton del Luzzo;1.0
0;Via Santa Bertilla;Via Santa Bertilla;1.0
1;Via U. Scarpelli;Via Uberto Scarpelli;0.666666666667
2;Vicolo C. Mollino;Via Carlo Mollino;
0;Via Lago di Lesina;Via Lago di Lesina;1.0
0;Via Maurisio Gerardo;Via Gerardo Maurisio;1.0
0;Via Ugo Capitanio;Via Ugo Capitanio;1.0
0;Contra' San Pietro;Contra' San Pietro;1.0
0;Via Emilia Barbaro;Via Emilia Barbaro;1.0
1;Pista ciclo-pedonale di via dei Cairoli;Pista ciclo-pedonale di via dei Cairoli;0.654653670708
1;Via G. Malacarne;Via Giambattista Malacarne;0.666666666667
1;Via Lonigo;Via Lonigo;1.0
0;Contrà delle Fontanelle;Contra' delle Fontanelle;1.0
1;Via O. Garzadori;Via Ottaviano Garzadori;0.666666666667
0;Via Giovanni Giolitti;Via Giovanni Giolitti;1.0
2;Autostrada Serenissima;Autostrada Serenissima;
0;Contrà Giacomo Zanella;Contra' Giacomo Zanella;1.0
0;Via delle Casone;Via delle Casone;1.0
0;Via Usodimare Antoniotto;Via Antoniotto Usodimare;1.0
0;Contrà Pedemuro San Biagio;Contra' Pedemuro San Biagio;1.0
0;Contrà Giampietro De Proti;Contra' Giampietro De' Proti;1.0
0;Strada del Pasubio;Strada del Pasubio;1.0
0;Viale Battaglione Framarin;Viale Battaglione Framarin;1.0
0;Via Monte Zebio;Via Monte Zebio;1.0
1;Stradella Araceli;Stradella Araceli;1.0
0;Via Giuseppe Baretti;Via Giuseppe Baretti;1.0
2b;Via della Scienza;Viale della Scienza;0.866666666667
2a;Via San L. Murialdo;Via San Leonardo Murialdo;0.866025403784
0;Via Pasqualigo Francesco;Via Francesco Pasqualigo;1.0
0;Via Arnaldi Rinaldo;Via Rinaldo Arnaldi;1.0
