NOME_VIA
Via Fratelli Chiodi
Via Miani G.
Contrà Porti
Via G. Ghirotti
Via Magrini Antonio
Contra' Mure San Michele
Via R. Pasi
Via Randaccio Giovanni
Contra' Manin Daniele
Via Cricoli
Via Basilio Dalla Scola
Via Giuseppe Zampieri
Contrà Cantarane
Via Zanon Don Ottorino
Via Moneta Ernesto Teodoro
Contra' del Guanto
Via Col. Alessandro Avogadro Di Casanova
Contra' Sant'Andrea
Contra' XX Settembre
Viale Cesare Augusto
Via Konrad Adenauer
Strada di Ca' Balbi
Via Agostino Depretis
Via della Meccanica
Strada Cul de Ola
Viale del Mercato Nuovo
Via G. Costantini
Contra' delle Morette
Stradella della Fossetta
Strada di Casale
Viale Francesco Crispi
Corte dei Bissari
Via Metauro
Via Antonio Cecchi
Contra' Ponte San Paolo
Via F. Vigna
Stradella Loschi
Via Pietro Beroaldi
Via Brennero
Via dell'Arsenale
Via G. Plona
Via Pastrengo
Via Formica Domenico
Viale delle Fornaci
Via Attilio Brunialti
Viale Risorgimento
Viale 10 Giugno
Contra' Porton del Luzzo
Via Lago di Zurigo
Via Zara
Via U. Scarpelli
Vicolo C. Mollino
Via Giuseppe Parini
Via Maurisio Gerardo
Via Ugo Capitanio
Contra' San Pietro
Pista ciclo-pedonale di via dei Cairoli
Via Emilia Barbaro
Via G. Malacarne
Piazza del Castello
Via Arcangel Corelli
Contrà San Francesco Vecchio
Autostrada Serenissima
Contrà Giacomo Zanella
Via Marco Antonio Pellegrini
Via Usodimare Antoniotto
Piazzale della Vittoria
Via Bertolo Giovanni Maria
Contrà Giampietro De Proti
Viale dello Stadio
Via A. Turcato
Via Monte Zebio
Viale Ortigara
Borgo Scroffa
Via Giuseppe Baretti
Via della Scienza
Via San L. Murialdo
Via Arnaldi Rinaldo
corte del Lotto
Via Chiarini G.
Via Bainsizza
Via Brigata Sassari
Via Corradini Francesco
Pista ciclo-pedonale di via del Mercato Nuovo
Via Mozzi Antonio
Ponte degli Angeli
Via Vicenzo Monti
Via Matteazzi Angelo
Largo Fulton Robert
Via F. Crispi
Vialetto Elsi Francesco
Via G. Fincato
Contrada Pedemuro San Biagio
Piazzale Torquato Fraccon
Via Remondini Giambattista
Strada Businello
Stradella dei Perin
Viale Roma
Contra' Porta Santa Croce
Viale Europa
Via Giulio Natta
Via Gasparella Girolamo
Contra' della Catena
Via Macca Gaetano
Piazzetta Nostro Tetto
Via Spinelli Nicola
Via Monterotondo
Via Schio
Via Belli Valerio
Via Bressan Bartolomeo
Via Emilio Morosini
Borgo Casale
Via Nicolò Machiavelli
Contra' San Silvestro
Via Gabriele D'Annunzio
Via P. Scarcerle
