SUBSTITUTIONS LOG
	Number of highways with tag 'name': 3497
		Number of substitutions of the 'name': 1071
		Number of deletions of the 'name': 11
	Number of highways with tag 'addr:street': 3
		Number of substitutions of the 'addr:street': 0
		Number of deletions of the 'addr:street': 0

SUBTITUTIONS LIST
WAY_ID;ADDR:STREET_old;ADDR:STREET_new;NAME_old;NAME_new
22760362;;;Strada Padana Verso Verona;Strada Padana verso Verona
23161201;;;Strada Monte Crocetta;Strada del Monte Crocetta
23366375;;;Via A. Turra;Via Antonio Turra
23374257;;;Via G. Samonà;Via Giuseppe Samonà
23381498;;;Via E. Zamboni Segato;Via Elisa Zamboni Segato
23381505;;;Via G. Bedin;Via Giacomo Bedin
23381967;;;Via P. M. Zaguri;Via Pietro Marco Zaguri
23382932;;;Via Nervi;Via Pierluigi Nervi
23382946;;;Vicolo C. Mollino;Via Carlo Mollino
23382956;;;Via C. Mollino;Via Carlo Mollino
23382971;;;Via O. M. Pagani;Via Orazio Maria Pagani
23383001;;;Via Nievo Giambattista;Via Giambattista Nievo
23384634;;;Via B. Galizzi;Via Benedetto Galizzi
23384675;;;Via A. Sant'Elia;Via Antonio Sant'Elia
23394377;;;Via R. Pasi;Via Raffaele Pasi
23394457;;;Via P. Porto Godi;Via Paolina Porto Godi
23394462;;;Via F. Novello;Via Francesco Novello
23394469;;;Via Tortosa Giuseppe;Via Giuseppe Tortosa
23394478;;;Via G. Rezzara;Via Gaetano Rezzara
23397667;;;Via A. Sandri;Via Antonio Sandri
23397795;;;Via San L. Murialdo;Via San Leonardo Murialdo
23397800;;;Via F. Nado;Via Francesco Nado
23397812;;;Strada scuole dell'Anconetta;Strada Scuole dell'Anconetta
23397837;;;Via C. Bonioli;Via Camillo Bonioli
23397841;;;Via F. Vigna;Via Francesco Vigna
23397847;;;Via G. B. Mugna;Via Giovanni Battista Mugna
23397904;;;Via F. Beggiato;Via Francesco Beggiato
23397908;;;Via G. Toffoletto;Via Giuseppe Toffoletto
23397959;;;Via M. Fogolino;Via Marcello Fogolino
23397990;;;Via A. Massaria;Via Alessandro Massaria
23397997;;;Via Chiminelli Luigi;Via Luigi Chiminelli
23398638;;;Via Imperiali Giovanni Battista;Via Giovanni Battista Imperiali
23398666;;;Via C. Borella;Via Carlo Borella
23400930;;;Viale Fusinieri Ambrogio;Viale Ambrogio Fusinieri
23401002;;;Via G. Visona';Via Gino Visonà
23401153;;;Via D. Cerato;Via Domenico Cerato
23401209;;;Via G. E. Di Velo;Via Gerolamo Egidio di Velo
23401234;;;Viale Cimitero;Viale del Cimitero
23410171;;;Via Giovan Battista Quadri;Via Giovanni Battista Quadri
23410332;;;Via IV Novembre;Via Quattro Novembre
23410384;;;Via Generale Giacomo Medici;Via Giacomo Medici
23411104;;;Contrà Mure San Rocco;Contra' Mure San Rocco
23432127;;;Via Ponte del Marchese;Strada Ponte del Marchese
23433377;;;Viale 10 Giugno;Viale Dieci Giugno
23441148;;;Via C. Marocco;Via Cesare Marocco
23441207;;;Via G. Carpioni;Via Giulio Carpioni
23443603;;;Via G. Verazzano;Via Giovanni Verrazano
23454466;;;Strada Lobia;Strada di Lobia
23472424;;;Via Ponte del Marchese;Strada Ponte del Marchese
23472435;;;Via Ponte del Marchese;Strada Ponte del Marchese
23472437;;;Via Ponte del Marchese;Strada Ponte del Marchese
23472529;;;Via Guglielmo Pecori Giraldi;Viale Guglielmo Pecori Giraldi
23472793;;;Via G. Ghellini;Via Gellio Ghellini
23472798;;;Via L. Q. Rubini;Via Lucia Quinto Rubini
23472832;;;Via F. Novello;Via Francesco Novello
23500216;;;Viale Bartolomeo D'Alviano;Viale Bartolomeo d'Alviano
23500230;;;Viale Bartolomeo D'Alviano;Viale Bartolomeo d'Alviano
23542013;;;Via G. Gagliardotti;Via Giuseppe Gagliardotti
23544140;;;Strada Costabissara;Strada di Costabissara
23544141;;;Strada Costabissara;Strada di Costabissara
23544142;;;Strada Costabissara;Strada di Costabissara
23553180;;;Via Cresolella;Strada della Cresolella
23576358;;;Via G. G. Cappellari;Via Giovanni Giuseppe Cappellari
23576365;;;Via G. Pagliarino;Via Giambattista Pagliarino
23576618;;;Largo Wolfgang Goethe;Largo Volfango Goethe
23576868;;;Contrà Pusterla;Contra' Pusterla
23601348;;;Strada Padana Verso Verona;Strada Padana verso Verona
23601698;;;Viale dello Stadio;Via dello Stadio
23617994;;;Via P. Alpino;Via Prospero Alpino
23622889;;;Corso Palladio;Corso Andrea Palladio
23622895;;;Contrà Porti;Contra' Porti
23622981;;;Contra' Canove Vecchie;Contra' delle Canove Vecchie
23623284;;;Contrà Pedemuro San Biagio;Contra' Pedemuro San Biagio
23627437;;;Via Baden Powell;Via Robert Baden Powell
23628026;;;Contrà San Francesco;Contra' San Francesco
23713883;;;Via A. Sant'Elia;Via Antonio Sant'Elia
23751757;;;Via Don D. Lora;Via don Domenico Lora
23751760;;;Via A. Crosara;Via Adolfo Crosara
23751767;;;Via A. Codamosto;Via Alvise Cadamosto
23751769;;;Via G. Mainardi;Via Giorgio Mainardi
23751770;;;Via G. Vajenti;Via Giampaolo Vajenti
23754784;;;Contrà San Francesco;Contra' San Francesco
23759151;;;Via G. Malacarne;Via Giambattista Malacarne
23759155;;;Via G. Mainardi;Via Giorgio Mainardi
23759238;;;Via F.lli Caldonazzo;Via Fratelli Caldonazzo
23759349;;;Via O. Garzadori;Via Ottaviano Garzadori
23759350;;;Via S. Trevisan;Via Sebastiano Trevisan
23759367;;;Via G. Plona;Via Girolamo Plona
23759404;;;Via L. Cordellina;Via Lodovico Cordellina
23800761;;;Via B. Ricasoli;Via Bettino Ricasoli
23800763;;;Via Frédéric Antoine Ozanam;Via Antonio Federico Ozanam
23800765;;;Via Btg. Vicenza;Via Battaglione Vicenza
23859417;;;Via Quintino Sella;Viale Quintino Sella
