NOME_NORM
Autostrada Milano-Venezia
Autostrada Valdastico
Via Abetone
Via Paolo Abriani
Strada dell'Acquedotto Romano
Via Adda
Via Konrad Adenauer
Via Adige
Via Eugenio Alberi
Via Tomaso Albinoni
Via Alberico Albricci
Via Aleardo Aleardi
Via Vittorio Alfieri
Via Luigi Aliani
Strada degli Alidosio
Via Gino Allegri
Via Salvador Allende
Via Prospero Alpino
Strada Ambrosini
Via Giovanni Amendola
Viale Anconetta
Leva' degli Angeli
Via Spirito Anguissola
Viale Annecy
Via Sebastiano Anti
Via Orazio Antinori
Contra' Giuseppe Apolloni
Piazza Araceli
Stradella Araceli
Via Ludovico Ariosto
Via Rinaldo Arnaldi
Via dell'Arsenale
Via dell'Artigianato
Via Arzignano
Via Asiago
Via Aspromonte
Viale Astichello
Viale Bacchiglione
Via Robert Baden Powell
Via Vittorio Bachelet
Via Bainsizza
Strada del Balsego
Stradella della Banca Popolare
Via Francesco Baracca
Via Barbarano
Via Emilia Barbaro
Via Giuseppe Barbieri
Contra' delle Barche
Stradella delle Barche
Via Virgilio Bardella
Via Giuseppe Baretti
Via Francesco Bassani
Via Bassano
Via Ugo Bassi
Via Battaglione Aosta
Via Battaglione Edolo
Via Battaglione Feltre
Viale Battaglione Framarin
Via Battaglione Monte Baldo
Via Battaglione Monte Berico
Via Battaglione Monte Spluga
Via Battaglione Morbegno
Via Battaglione Sette Comuni
Via Battaglione Stelvio
Via Battaglione Tirano
Via Battaglione Val Camonica
Via Battaglione Val Chiese
Via Battaglione Val Leogra
Via Battaglione Valtellina
Via Battaglione Vestone
Via Battaglione Vicenza
Via Battista da Vicenza
Via Cesare Battisti
Via Beato Bartolomeo da Breganze
Via Beccariette
Via Giulio Bedeschi
Via Giacomo Bedin
Via Francesco Beggiato
Via Giusto Bellavitis
Via Valerio Belli
Via Vincenzo Bellini
Via Domenico Belluzzi
Via Achille Beltrame
Via Benedetto Marcello
Via Francesco Berardi
Strada delle Beregane
Borgo Berga
Via Francesco Berlendis
Via Bernina
Via Pietro Beroaldi
Strada di Bertesina
Strada di Bertesinella
Via Giovanni Maria Bertolo
Via Antonio Bevilacqua
Via Bezzecca
Piazza delle Biade
Strada Biron di Sopra
Strada Biron di Sotto
Strada di Bisortole
Corte dei Bissari
Via Nino Bixio
Via Giovanni Boccaccio
Via Luigi Boccherini
Via Boffalora
Via Arrigo Boito
Via Nicolò Boldrini
Piazzale Bologna
Via Beatrice Bonacossi
Via Lazzaro Bonamico
Via Modesto Bonato
Via Camillo Bonioli
Via Giampaolo Bonollo
Via Ivanoe Bonomi
Via Carlo Borella
Contra' del Borghetto
Stradella del Borghetto
Strada del Borghetto di Saviabona
Via Carlo Borgo
Via Domenico Bortolan
Via Bartolomeo Boschetti
Via Riccardo Boschiero
Via Paolo Boselli
Via Agostino Bottazzi
Via Vittorio Bottego
Via Bruno Brandellero
Via Uberto Breganze
Via Brennero
Via Brenta
Via Bartolomeo Bressan
Via Brigata Forlì
Via Brigata Granatieri di Sardegna
Via Brigata Liguria
Via Brigata Regina
Via Brigata Sassari
Via Brigata Toscana
Via Giambattista Brocchi
Viale del Brotton
Via Attilio Brunialti
Via Giovanni Buonconsiglio
Via Bruno Buozzi
Contra' dei Burci
Via Busa della Contessa
Contra' Busa San Michele
Contra' Giovanni Busato
Strada Businello
Via Ca' Alte
Strada di Ca' Balbi
Contra' Jacopo Cabianca
Via Sebastiano Caboto
Via Alvise Cadamosto
Via Cadibona
Via Raffaele Cadorna
Via Umberto Cagni
Contra' della Caimpenta
Via dei Cairoli
Via Calatafimi
Via Ottone Calderari
Via Paolo Calvi
Via dei Camaldolesi
Via Elisabetta Caminer
Viale Camisano
Via Maddalena Campiglia
Via Eleonora Candia
Contra' Francesco Canneti
Contra' delle Canove
Contra' delle Canove Vecchie
Via Cansiglio
Contra' Cantarane
Via Antonio Cantore
Via Cesare Cantù
Strada delle Caperse
Via Ugo Capitanio
Via Giuseppe Capparozzo
Via Giovanni Giuseppe Cappellari
Via Guglielmo Cappelletti
Via Luigi Cappello
Stradella delle Cappuccine
Via dei Cappuccini
Stradella dei Cappuccini
Via Capraia
Via Caprera
Via Capri
Via dei Capuleti
Viale Giosuè Carducci
Via Antonio Caregaro Negrin
Via Domenico Cariolato
Via Giovanni Carli
Contra' Carpagnon
Strada della Carpaneda
Via Giulio Carpioni
Via del Carso
Via Dino Carta
Borgo Casale
Strada di Casale
Via Andrea Casalini
Piazzale Casa Nostra
Via Alessandro Avogadro Casanova
Pista Ciclabile Renato Casarotto
Via Casarsa
Via delle Casermette
Via delle Casone
Via Giacomo Cassetti
Via Castelfidardo
Via Silvestro Castellini
Piazza del Castello
Via Alfredo Catalani
Contra' della Catena
Strada delle Ca' Tosate
Strada delle Cattane
Via Carlo Cattaneo
Strada del Cavalcavia
Via Cavalieri di Vittorio Veneto
Via Luigi Cavalli
Strada della Caveggiara
Via Enrico Caviglia
Contra' Camillo Benso Cavour
Via Giovanni Ceccarini
Via Silvio Ceccato
Via Antonio Cecchi
Via Giovanni Cecchin
Via Giuseppe Cederle
Via Cefalonia
Via Cengio
Via della Ceramica
Via Domenico Cerato
Via Cereda
Via Cernaia
Viale Cesare Augusto
Via Giovanni Checcozzi
Via Giovanni Chiarini
Via Damiano Chiesa
Strada della Chiesa di Polegge
Via Giacomo Chilesotti
Via della Chimica
Via Luigi Chiminelli
Via Antonio Chinotto
Contra' delle Chioare
Via Fioralpino Chiodi
Viale Enrico Cialdini
Via Francesco Cilea
Via del Cilento
Via Domenico Cimarosa
Viale del Cimitero
Strada del Cimitero di Polegge
Via Cimone
Via Cipro
Via Giuseppe Civran
Piazzale Beata Annunciata Cocchetti
Via Col d'Echele
Via Col del Rosso
Strada della Colombaretta
Via Cristoforo Colombo
Strada della Coltura Camisana
Strada Coltura del Tesina
Strada della Commenda
Via del Commercio
Via Conforto da Costozza
Via Giorgio Corbetta
Via Lodovico Cordellina
Via Pasquale Cordenons
Via Arcangelo Corelli
Via Cormons
Contra' Cornoleo
Contra' Corpus Domini
Via Francesco Corradini
Via Filippo Corridoni
Strada di Costabissara
